minbound,shape,unit
-39.2,108,1.4
-99.4,61,1.4
0,12,3.2

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,0,5,0
0,0,6,0
0,0,7,0
0,0,8,0
0,0,9,0
0,0,10,0
0,0,11,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,1,5,0
0,1,6,0
0,1,7,0
0,1,8,0
0,1,9,0
0,1,10,0
0,1,11,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,2,5,0
0,2,6,0
0,2,7,0
0,2,8,0
0,2,9,0
0,2,10,0
0,2,11,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,0
0,3,4,0
0,3,5,0
0,3,6,0
0,3,7,0
0,3,8,0
0,3,9,0
0,3,10,0
0,3,11,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
0,4,5,0
0,4,6,0
0,4,7,0
0,4,8,0
0,4,9,0
0,4,10,0
0,4,11,0
0,5,0,0
0,5,1,0
0,5,2,0
0,5,3,0
0,5,4,0
0,5,5,0
0,5,6,0
0,5,7,0
0,5,8,0
0,5,9,0
0,5,10,0
0,5,11,0
0,6,0,0
0,6,1,0
0,6,2,0
0,6,3,0
0,6,4,0
0,6,5,0
0,6,6,0
0,6,7,0
0,6,8,0
0,6,9,0
0,6,10,0
0,6,11,0
0,7,0,0
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,7,5,0
0,7,6,0
0,7,7,0
0,7,8,0
0,7,9,0
0,7,10,0
0,7,11,0
0,8,0,0
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,0
0,8,5,0
0,8,6,0
0,8,7,0
0,8,8,0
0,8,9,0
0,8,10,0
0,8,11,0
0,9,0,0
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,6,0
0,9,7,0
0,9,8,0
0,9,9,0
0,9,10,0
0,9,11,0
0,10,0,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,0
0,10,8,0
0,10,9,0
0,10,10,0
0,10,11,0
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,11,7,0
0,11,8,0
0,11,9,0
0,11,10,0
0,11,11,0
0,12,0,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,12,7,0
0,12,8,0
0,12,9,0
0,12,10,0
0,12,11,0
0,13,0,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
0,13,7,0
0,13,8,0
0,13,9,0
0,13,10,0
0,13,11,0
0,14,0,0
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
0,14,5,0
0,14,6,0
0,14,7,0
0,14,8,0
0,14,9,0
0,14,10,0
0,14,11,0
0,15,0,0
0,15,1,0
0,15,2,0
0,15,3,0
0,15,4,0
0,15,5,0
0,15,6,0
0,15,7,0
0,15,8,0
0,15,9,0
0,15,10,0
0,15,11,0
0,16,0,0
0,16,1,0
0,16,2,0
0,16,3,0
0,16,4,0
0,16,5,0
0,16,6,0
0,16,7,0
0,16,8,0
0,16,9,0
0,16,10,0
0,16,11,0
0,17,0,0
0,17,1,0
0,17,2,0
0,17,3,0
0,17,4,0
0,17,5,0
0,17,6,0
0,17,7,0
0,17,8,0
0,17,9,0
0,17,10,0
0,17,11,0
0,18,0,0
0,18,1,0
0,18,2,0
0,18,3,0
0,18,4,0
0,18,5,0
0,18,6,0
0,18,7,0
0,18,8,0
0,18,9,0
0,18,10,0
0,18,11,0
0,19,0,0
0,19,1,0
0,19,2,0
0,19,3,0
0,19,4,0
0,19,5,0
0,19,6,0
0,19,7,0
0,19,8,0
0,19,9,0
0,19,10,0
0,19,11,0
0,20,0,0
0,20,1,0
0,20,2,0
0,20,3,0
0,20,4,0
0,20,5,0
0,20,6,0
0,20,7,0
0,20,8,0
0,20,9,0
0,20,10,0
0,20,11,0
0,21,0,0
0,21,1,0
0,21,2,0
0,21,3,0
0,21,4,0
0,21,5,0
0,21,6,0
0,21,7,0
0,21,8,0
0,21,9,0
0,21,10,0
0,21,11,0
0,22,0,0
0,22,1,0
0,22,2,0
0,22,3,0
0,22,4,0
0,22,5,0
0,22,6,0
0,22,7,0
0,22,8,0
0,22,9,0
0,22,10,0
0,22,11,0
0,23,0,0
0,23,1,0
0,23,2,0
0,23,3,0
0,23,4,0
0,23,5,0
0,23,6,0
0,23,7,0
0,23,8,0
0,23,9,0
0,23,10,0
0,23,11,0
0,24,0,0
0,24,1,0
0,24,2,0
0,24,3,0
0,24,4,0
0,24,5,0
0,24,6,0
0,24,7,0
0,24,8,0
0,24,9,0
0,24,10,0
0,24,11,0
0,25,0,0
0,25,1,0
0,25,2,0
0,25,3,0
0,25,4,0
0,25,5,0
0,25,6,0
0,25,7,0
0,25,8,0
0,25,9,0
0,25,10,0
0,25,11,0
0,26,0,0
0,26,1,0
0,26,2,0
0,26,3,0
0,26,4,0
0,26,5,0
0,26,6,0
0,26,7,0
0,26,8,0
0,26,9,0
0,26,10,0
0,26,11,0
0,27,0,0
0,27,1,0
0,27,2,0
0,27,3,0
0,27,4,0
0,27,5,0
0,27,6,0
0,27,7,0
0,27,8,0
0,27,9,0
0,27,10,0
0,27,11,0
0,28,0,0
0,28,1,0
0,28,2,0
0,28,3,0
0,28,4,0
0,28,5,0
0,28,6,0
0,28,7,0
0,28,8,0
0,28,9,0
0,28,10,0
0,28,11,0
0,29,0,0
0,29,1,0
0,29,2,0
0,29,3,0
0,29,4,0
0,29,5,0
0,29,6,0
0,29,7,0
0,29,8,0
0,29,9,0
0,29,10,0
0,29,11,0
0,30,0,0
0,30,1,0
0,30,2,0
0,30,3,0
0,30,4,0
0,30,5,0
0,30,6,0
0,30,7,0
0,30,8,0
0,30,9,0
0,30,10,0
0,30,11,0
0,31,0,0
0,31,1,0
0,31,2,0
0,31,3,0
0,31,4,0
0,31,5,0
0,31,6,0
0,31,7,0
0,31,8,0
0,31,9,0
0,31,10,0
0,31,11,0
0,32,0,0
0,32,1,0
0,32,2,0
0,32,3,0
0,32,4,0
0,32,5,0
0,32,6,0
0,32,7,0
0,32,8,0
0,32,9,0
0,32,10,0
0,32,11,0
0,33,0,0
0,33,1,0
0,33,2,0
0,33,3,0
0,33,4,0
0,33,5,0
0,33,6,0
0,33,7,0
0,33,8,0
0,33,9,0
0,33,10,0
0,33,11,0
0,34,0,0
0,34,1,0
0,34,2,0
0,34,3,0
0,34,4,0
0,34,5,0
0,34,6,0
0,34,7,0
0,34,8,0
0,34,9,0
0,34,10,0
0,34,11,0
0,35,0,0
0,35,1,0
0,35,2,0
0,35,3,0
0,35,4,0
0,35,5,0
0,35,6,0
0,35,7,0
0,35,8,0
0,35,9,0
0,35,10,0
0,35,11,0
0,36,0,0
0,36,1,0
0,36,2,0
0,36,3,0
0,36,4,0
0,36,5,0
0,36,6,0
0,36,7,0
0,36,8,0
0,36,9,0
0,36,10,0
0,36,11,0
0,37,0,0
0,37,1,0
0,37,2,0
0,37,3,0
0,37,4,0
0,37,5,0
0,37,6,0
0,37,7,0
0,37,8,0
0,37,9,0
0,37,10,0
0,37,11,0
0,38,0,0
0,38,1,0
0,38,2,0
0,38,3,0
0,38,4,0
0,38,5,0
0,38,6,0
0,38,7,0
0,38,8,0
0,38,9,0
0,38,10,0
0,38,11,0
0,39,0,0
0,39,1,0
0,39,2,0
0,39,3,0
0,39,4,0
0,39,5,0
0,39,6,0
0,39,7,0
0,39,8,0
0,39,9,0
0,39,10,0
0,39,11,0
0,40,0,0
0,40,1,0
0,40,2,0
0,40,3,0
0,40,4,0
0,40,5,0
0,40,6,0
0,40,7,0
0,40,8,0
0,40,9,0
0,40,10,0
0,40,11,0
0,41,0,0
0,41,1,0
0,41,2,0
0,41,3,0
0,41,4,0
0,41,5,0
0,41,6,0
0,41,7,0
0,41,8,0
0,41,9,0
0,41,10,0
0,41,11,0
0,42,0,0
0,42,1,0
0,42,2,0
0,42,3,0
0,42,4,0
0,42,5,0
0,42,6,0
0,42,7,0
0,42,8,0
0,42,9,0
0,42,10,0
0,42,11,0
0,43,0,0
0,43,1,0
0,43,2,0
0,43,3,0
0,43,4,0
0,43,5,0
0,43,6,0
0,43,7,0
0,43,8,0
0,43,9,0
0,43,10,0
0,43,11,0
0,44,0,0
0,44,1,0
0,44,2,0
0,44,3,0
0,44,4,0
0,44,5,0
0,44,6,0
0,44,7,0
0,44,8,0
0,44,9,0
0,44,10,0
0,44,11,0
0,45,0,0
0,45,1,0
0,45,2,0
0,45,3,0
0,45,4,0
0,45,5,0
0,45,6,0
0,45,7,0
0,45,8,0
0,45,9,0
0,45,10,0
0,45,11,0
0,46,0,0
0,46,1,0
0,46,2,0
0,46,3,0
0,46,4,0
0,46,5,0
0,46,6,0
0,46,7,0
0,46,8,0
0,46,9,0
0,46,10,0
0,46,11,0
0,47,0,0
0,47,1,0
0,47,2,0
0,47,3,0
0,47,4,0
0,47,5,0
0,47,6,0
0,47,7,0
0,47,8,0
0,47,9,0
0,47,10,0
0,47,11,0
0,48,0,0
0,48,1,0
0,48,2,0
0,48,3,0
0,48,4,0
0,48,5,0
0,48,6,0
0,48,7,0
0,48,8,0
0,48,9,0
0,48,10,0
0,48,11,0
0,49,0,0
0,49,1,0
0,49,2,0
0,49,3,0
0,49,4,0
0,49,5,0
0,49,6,0
0,49,7,0
0,49,8,0
0,49,9,0
0,49,10,0
0,49,11,0
0,50,0,0
0,50,1,0
0,50,2,0
0,50,3,0
0,50,4,0
0,50,5,0
0,50,6,0
0,50,7,0
0,50,8,0
0,50,9,0
0,50,10,0
0,50,11,0
0,51,0,0
0,51,1,0
0,51,2,0
0,51,3,0
0,51,4,0
0,51,5,0
0,51,6,0
0,51,7,0
0,51,8,0
0,51,9,0
0,51,10,0
0,51,11,0
0,52,0,0
0,52,1,0
0,52,2,0
0,52,3,0
0,52,4,0
0,52,5,0
0,52,6,0
0,52,7,0
0,52,8,0
0,52,9,0
0,52,10,0
0,52,11,0
0,53,0,0
0,53,1,0
0,53,2,0
0,53,3,0
0,53,4,0
0,53,5,0
0,53,6,0
0,53,7,0
0,53,8,0
0,53,9,0
0,53,10,0
0,53,11,0
0,54,0,0
0,54,1,0
0,54,2,0
0,54,3,0
0,54,4,0
0,54,5,0
0,54,6,0
0,54,7,0
0,54,8,0
0,54,9,0
0,54,10,0
0,54,11,0
0,55,0,0
0,55,1,0
0,55,2,0
0,55,3,0
0,55,4,0
0,55,5,0
0,55,6,0
0,55,7,0
0,55,8,0
0,55,9,0
0,55,10,0
0,55,11,0
0,56,0,0
0,56,1,0
0,56,2,0
0,56,3,0
0,56,4,0
0,56,5,0
0,56,6,0
0,56,7,0
0,56,8,0
0,56,9,0
0,56,10,0
0,56,11,0
0,57,0,0
0,57,1,0
0,57,2,0
0,57,3,0
0,57,4,0
0,57,5,0
0,57,6,0
0,57,7,0
0,57,8,0
0,57,9,0
0,57,10,0
0,57,11,0
0,58,0,0
0,58,1,0
0,58,2,0
0,58,3,0
0,58,4,0
0,58,5,0
0,58,6,0
0,58,7,0
0,58,8,0
0,58,9,0
0,58,10,0
0,58,11,0
0,59,0,0
0,59,1,0
0,59,2,0
0,59,3,0
0,59,4,0
0,59,5,0
0,59,6,0
0,59,7,0
0,59,8,0
0,59,9,0
0,59,10,0
0,59,11,0
0,60,0,0
0,60,1,0
0,60,2,0
0,60,3,0
0,60,4,0
0,60,5,0
0,60,6,0
0,60,7,0
0,60,8,0
0,60,9,0
0,60,10,0
0,60,11,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,0,8,0
1,0,9,0
1,0,10,0
1,0,11,0
1,1,0,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,1,11,0
1,2,0,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,0
1,2,11,0
1,3,0,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0
1,3,11,0
1,4,0,0
1,4,1,0.071256
1,4,2,0.142512
1,4,3,0.213768
1,4,4,0.283645
1,4,5,0.353325
1,4,6,0.423005
1,4,7,0.439826
1,4,8,0.439028
1,4,9,0.438229
1,4,10,0.440353
1,4,11,0.44423
1,5,0,0
1,5,1,0.063808
1,5,2,0.127616
1,5,3,0.191424
1,5,4,0.26086
1,5,5,0.3311
1,5,6,0.40134
1,5,7,0.423938
1,5,8,0.430654
1,5,9,0.437371
1,5,10,0.442544
1,5,11,0.44679
1,6,0,0
1,6,1,0.05636
1,6,2,0.11272
1,6,3,0.16908
1,6,4,0.238075
1,6,5,0.308875
1,6,6,0.379675
1,6,7,0.408049
1,6,8,0.422281
1,6,9,0.436513
1,6,10,0.444735
1,6,11,0.449351
1,7,0,0
1,7,1,0.0512736
1,7,2,0.102547
1,7,3,0.153821
1,7,4,0.222155
1,7,5,0.292926
1,7,6,0.363697
1,7,7,0.396784
1,7,8,0.417308
1,7,9,0.437833
1,7,10,0.448002
1,7,11,0.451957
1,8,0,0
1,8,1,0.0520912
1,8,2,0.104182
1,8,3,0.156274
1,8,4,0.223397
1,8,5,0.292667
1,8,6,0.361937
1,8,7,0.397076
1,8,8,0.420838
1,8,9,0.444599
1,8,10,0.453959
1,8,11,0.454677
1,9,0,0
1,9,1,0.0529088
1,9,2,0.105818
1,9,3,0.158726
1,9,4,0.224638
1,9,5,0.292408
1,9,6,0.360178
1,9,7,0.397369
1,9,8,0.424367
1,9,9,0.451366
1,9,10,0.459916
1,9,11,0.457398
1,10,0,0
1,10,1,0.0537264
1,10,2,0.107453
1,10,3,0.161179
1,10,4,0.22588
1,10,5,0.292149
1,10,6,0.358418
1,10,7,0.397661
1,10,8,0.427897
1,10,9,0.458132
1,10,10,0.465873
1,10,11,0.460118
1,11,0,0
1,11,1,0.054544
1,11,2,0.109088
1,11,3,0.163632
1,11,4,0.227122
1,11,5,0.29189
1,11,6,0.356658
1,11,7,0.397954
1,11,8,0.431426
1,11,9,0.464898
1,11,10,0.47183
1,11,11,0.462838
1,12,0,0
1,12,1,0.0553616
1,12,2,0.110723
1,12,3,0.166085
1,12,4,0.228364
1,12,5,0.291631
1,12,6,0.354898
1,12,7,0.398247
1,12,8,0.434955
1,12,9,0.471664
1,12,10,0.477787
1,12,11,0.465558
1,13,0,0
1,13,1,0.0561792
1,13,2,0.112358
1,13,3,0.168538
1,13,4,0.229606
1,13,5,0.291372
1,13,6,0.353138
1,13,7,0.398539
1,13,8,0.438485
1,13,9,0.47843
1,13,10,0.483744
1,13,11,0.468278
1,14,0,0
1,14,1,0.0570048
1,14,2,0.11401
1,14,3,0.171014
1,14,4,0.231029
1,14,5,0.291474
